VIN,Make,Manufacturer Name,Model,Model Year,Plant City,Vehicle Type,Plant Country,Plant State,Body Class,Gross Vehicle Weight Rating From,Cab Type,Trailer Type Connection,Trailer Body Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Engine Brake (hp) From,Engine Brake (hp) To,Other Engine Info,Engine Manufacturer,Seat Belt Type,Front Air Bag Locations,NCSA Body Type,NCSA Make,NCSA Model,Bus Floor Configuration Type,Bus Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Braking Assist,Blind Spot Monitoring,Adaptive Cruise Control,Lane Keep Assist,Lane Departure Warning,Automatic Breaking
5TDZA23C54S003629,TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Sienna,2004,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Minivan,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,6,3300,201.3783555,3.3,198.3562,Gasoline,,V-Shaped,266,,,,,,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Toyota,Sienna,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2GTEC19V521125620,GMC,GENERAL MOTORS LLC,Sierra,2002,OSHAWA TRUCK,TRUCK ,CANADA,ONTARIO,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,8,4800,292.9139717,4.8,,Gasoline,,V-Shaped,,,Iron,,,,Light Pickup,GMC,"C, K, R, V-series pickup/     Sierra",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1N4AL11D53C188980,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2003,SMYRNA,PASSENGER CAR,UNITED STATES (USA),TENNESSEE,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,,Nissan,Manual,,"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FTNS24WX5HA49600,FORD,"FORD MOTOR COMPANY, USA",E-250,2005,LORAIN,TRUCK ,UNITED STATES (USA),OHIO,Cargo Van,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",,Not Applicable,Not Applicable,4x2,Hydraulic,8,4600,280.7092228,4.6,167.7825,Gasoline,,V-Shaped,225,,EFI,,Manual,1st Row (Driver and Passenger),"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",Ford,E-Series Van/Econoline,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
3HSDZAPR5KN595866,INTERNATIONAL,"NAVISTAR, INC.",LT625,2019,,TRUCK ,MEXICO,ESCOBEDO,Truck-Tractor,"Class 8: 33,001 lb and above (14,969 kg and above)",MDHD: Conventional,Not Applicable,Not Applicable,6x4,Air,,14994.16356,915,14.99416356,,Diesel,,,,,,Cummins,,,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",International Harvester/Navistar,Medium/Heavy - CBE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2GCEK19C281166880,CHEVROLET,GENERAL MOTORS LLC,Silverado,2008,OSHAWA TRUCK,TRUCK ,CANADA,ONTARIO,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,4800,292.9139717,4.8,,,,V-Shaped,,,,GM,,,Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2C4RC1FG0LR119055,CHRYSLER,FCA CANADA INC.,Pacifica,2020,WINDSOR,MULTIPURPOSE PASSENGER VEHICLE (MPV),CANADA,ONTARIO,Minivan,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,6,3600,219.6854787,3.6,214.0159,Gasoline,,V-Shaped,287,,,FCA,Manual,1st Row (Driver and Passenger),"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Chrysler,Pacifica,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FD7X2B66FEC39650,FORD,"FORD MOTOR COMPANY, USA",F-250,2015,JEFFERSON COUNTY,INCOMPLETE VEHICLE,UNITED STATES (USA),KENTUCKY,Pickup,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,6200,378.3472134,6.2,285.6031,Gasoline,,V-Shaped,383,,,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,,,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1N4AL2AP9AN443017,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2010,,PASSENGER CAR,UNITED STATES (USA),,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,126.769,Gasoline,,,170,175,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JT3GN86R3W0075874,TOYOTA,TOYOTA MOTOR CORPORATION,4-Runner,1998,TAHARA,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,6,3378,207.4807299,3.4,136.4631,Gasoline,,V-Shaped,183,190,,Toyota,,,Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Toyota,4-Runner,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FMCU0F78JUA74889,FORD,"FORD MOTOR COMPANY, USA",Escape,2018,LOUISVILLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,Hydraulic,4,2500,152.5593602,2.5,127.5147,Gasoline,,In-Line,171,,,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,Escape,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
SADCM2BVXHA075756,JAGUAR,JAGUAR LAND ROVER LIMITED,F-Pace,2017,SOLIHULL,MULTIPURPOSE PASSENGER VEHICLE (MPV),ENGLAND,UNITED KINGDOM,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,6,3000,183.0712323,3,283.366,Gasoline,,V-Shaped,380,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Jaguar,F-Pace,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
WVGAV7AX3HK048422,VOLKSWAGEN,"VOLKSWAGEN GROUP OF AMERICA, INC.",Tiguan,2017,OSNABRUCK,MULTIPURPOSE PASSENGER VEHICLE (MPV),GERMANY,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,2000,122.0474882,2,149.14,Gasoline,,,200,,Fuel: Gas (50-St); Emissions Certification Test Group:HVGAJ02.0VUE/                                                                                     HVGAT02.0VUD(Tiguan SEL 4Motion only)  ; Federal / California Emission Standard: IntT3 Bin 125/ULEV II  ,VW,,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Volkswagen,Tiguan,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2GTEC13V971131162,GMC,GENERAL MOTORS LLC,Sierra,2007,OSHAWA TRUCK,TRUCK ,CANADA,ONTARIO,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,4x2,Hydraulic,8,4800,292.9139717,4.8,,Gasoline,,V-Shaped,,,"MFI, Iron, 8Cyl",GM,,,Light Pickup,GMC,"C, K, R, V-series pickup/     Sierra",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
7FARW2H52KE046651,HONDA,"AMERICAN HONDA MOTOR CO., INC.",CR-V,2019,GREENSBURG,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,,,4,1500,91.53561614,1.5,141.683,Gasoline,Dual Overhead Cam (DOHC),In-Line,190,,Direct Fuel Injection,Honda,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Honda,CR-V,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FTEW1C81AFB85752,FORD,"FORD MOTOR COMPANY, USA",F-150,2010,DEARBORN,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4x2,Hydraulic,8,4600,280.7092228,4.6,217.7444,Gasoline,,V-Shaped,292,,,,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1N4BL4DV5KN300397,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2019,CANTON,PASSENGER CAR,UNITED STATES (USA),MISSISSIPPI,Sedan/Saloon,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,4x2,,,2500,152.5593602,2.5,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2C3CDZJGXLH215035,DODGE,FCA CANADA INC.,Challenger,2020,BRAMPTON,PASSENGER CAR,CANADA,ONTARIO,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,RWD/Rear-Wheel Drive,,6,3600,219.6854787,3.6,227.4385,Gasoline,,V-Shaped,305,,,FCA,Manual,1st Row (Driver and Passenger),"2-door sedan,hardtop,coupe",Dodge,Challenger (2008 on; for 1970-74 see model 005),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JTNB11HK9J3002746,TOYOTA,TOYOTA MOTOR CORPORATION,Camry,2018,TSUTSUMI,PASSENGER CAR,JAPAN,,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2487,152,2.5,150.6314,Gasoline,Dual Overhead Cam (DOHC),In-Line,202,,Port+Direct,Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Camry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FTSW20528EB43755,FORD,"FORD MOTOR COMPANY, USA",F-250,2008,JEFFERSON COUNTY,TRUCK ,UNITED STATES (USA),KENTUCKY,Pickup,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4x2,Hydraulic,8,5400,329.5282181,5.4,186.425,Gasoline,,V-Shaped,250,,,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1GCGSDEN3H1321279,CHEVROLET,GENERAL MOTORS LLC,Colorado,2017,WENTZVILLE,TRUCK ,UNITED STATES (USA),MISSOURI,Pickup,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4x2,,6,3600,219.6854787,3.6,,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,,,Manual,1st Row (Driver and Passenger),Light Pickup,Chevrolet,Colorado,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1N6AA07B94N564048,NISSAN,"NISSAN NORTH AMERICA, INC.",Titan,2004,CANTON,TRUCK ,UNITED STATES (USA),MISSISSIPPI,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,5600,341.7329669,5.6,,Gasoline,,V-Shaped,,,4-wheel ABS,,,,Light Pickup,Nissan/Datsun,Titan (from 2004-06; see 481 for 2007 on),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
5TFRV54129X073609,TOYOTA,"TOYOTA MOTOR MANUFACTURING, TEXAS, INC.",Tundra,2009,,TRUCK ,UNITED STATES (USA),TEXAS,Pickup,"Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,,8,5700,347.8353413,5.7,284.1117,Gasoline,,V-Shaped,381,,PORT,,,,Light Pickup,Toyota,Tundra,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1HGCP2F37CA190787,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2012,MARYSVILLE,PASSENGER CAR,UNITED STATES (USA),OHIO,Sedan/Saloon,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,,,4,2359.737216,144,2.359737216,131.9889,Gasoline,Dual Overhead Cam (DOHC),In-Line,177,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1GCEK19T84E255166,CHEVROLET,GENERAL MOTORS LLC,Silverado,2004,PONTIAC,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,5300,323.4258437,5.3,,Gasoline,,V-Shaped,,,,,,,Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
5XYPGDA39GG165334,KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Sorento,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GEORGIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2400,146.4569858,2.4,,Gasoline,Dual Overhead Cam (DOHC),,,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),KIA,Sorento,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
5YFBURHE4KP912480,TOYOTA,"TOYOTA MOTOR MANUFACTURING, MISSISSIPPI, INC.",Corolla,2019,,PASSENGER CAR,UNITED STATES (USA),MISSISSIPPI,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1798,109.8427394,1.8,98.4324,Gasoline,Dual Overhead Cam (DOHC),In-Line,132,148,,Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Corolla,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2MEFM75W54X683307,MERCURY,"FORD MOTOR COMPANY OF CANADA, LTD.",Grand Marquis,2004,TALBOTVILLE,PASSENGER CAR,CANADA,ONTARIO,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,8,4600,280.7092228,4.6,167.0368,Gasoline,Single Overhead Cam (SOHC),V-Shaped,224,,,Ford,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Mercury,Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JTJYARBZXF2003238,LEXUS,TOYOTA MOTOR CORPORATION,NX,2015,KYUSHU,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,4,2000,122.0474882,2,,Gasoline,,In-Line,,,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,NX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
3N1BC13E78L422832,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Versa,2008,,PASSENGER CAR,MEXICO,,Hatchback/Liftback/Notchback,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1800,109.8427394,1.8,90.9754,Gasoline,,,122,,,,Manual,1st Row (Driver and Passenger),5-door/4-door hatchback,Nissan/Datsun,Versa,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
4T1BE32K74U349063,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2004,,PASSENGER CAR,UNITED STATES (USA),KENTUCKY,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2362,146.4569858,2.4,117.0749,Gasoline,Dual Overhead Cam (DOHC),In-Line,157,170,"Horsepower: 149 hp, 160 hp, 162 hp, 170 hp",Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Camry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FMCU9G9XEUA94958,FORD,"FORD MOTOR COMPANY, USA",Escape,2014,LOUISVILLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2000,122.0474882,2,178.968,Gasoline,,In-Line,240,,Ti-VCT  Premium Fuel,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,Escape,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
WVWJM7AN9AE164105,VOLKSWAGEN,"VOLKSWAGEN GROUP OF AMERICA, INC.",Passat,2010,EMDEN,PASSENGER CAR,GERMANY,,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,4,1984,121.0711083,1.984,149.14,Gasoline,,,200,,50-St. BIN 3/PZEV  emission. Emissions Certification Test Group: AVWXV02.03PA.,Volkswagen,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Volkswagen,Passat (CC - 2008 thru 2011; see 052 for 2012 on),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
